date,trade_return,direction,regime,exit_reason,entry_price,exit_price,quantity,bars_held,equity,drawdown
2023-01-03 00:41:00+00:00,-39.3,short,is,,3865.25,3866.0,1,1,99962.5,0.0
2023-01-03 01:19:00+00:00,673.2,short,is,,3864.75,3851.25,1,37,100637.5,0.0
2023-01-03 01:38:00+00:00,123.2,short,is,,3849.5,3847.0,1,18,100762.5,0.0
2023-01-03 01:40:00+00:00,10.7,short,is,,3846.5,3846.25,1,1,100775.0,0.0
2023-01-03 01:42:00+00:00,-64.3,short,is,,3846.0,3847.25,1,1,100712.5,-0.06201935003721162
2023-01-03 01:44:00+00:00,-89.3,short,is,,3847.75,3849.5,1,1,100625.0,-0.14884644008930786
2023-01-03 01:46:00+00:00,-26.8,short,is,,3849.0,3849.5,1,1,100600.0,-0.1736541801041925
2023-01-03 01:48:00+00:00,-26.8,short,is,,3848.25,3848.75,1,1,100575.0,-0.19846192011907715
2023-01-03 01:50:00+00:00,-51.8,short,is,,3849.0,3850.0,1,1,100525.0,-0.24807740014884647
2023-01-03 01:52:00+00:00,-51.8,short,is,,3847.5,3848.5,1,1,100475.0,-0.2976928801786157
2023-01-03 01:54:00+00:00,-64.3,short,is,,3847.75,3849.0,1,1,100412.5,-0.3597122302158274
2023-01-03 01:56:00+00:00,-14.3,short,is,,3849.5,3849.75,1,1,100400.0,-0.37211610022326963
2023-01-03 01:58:00+00:00,-126.8,short,is,,3850.25,3852.75,1,1,100275.0,-0.49615480029769293
2023-01-03 02:00:00+00:00,-14.3,short,is,,3853.5,3853.75,1,1,100262.5,-0.5085586703051352
2023-01-03 02:02:00+00:00,10.7,short,is,,3852.25,3852.0,1,1,100275.0,-0.49615480029769293
2023-01-03 02:04:00+00:00,-101.8,short,is,,3851.0,3853.0,1,1,100175.0,-0.5953857603572315
2023-01-03 02:16:00+00:00,-139.3,long,is,,3854.25,3851.5,1,11,100037.5,-0.731828330439097
2023-01-03 02:19:00+00:00,-139.3,short,is,,3851.5,3854.25,1,2,99900.0,-0.8682709005209625
2023-01-03 02:56:00+00:00,285.7,long,is,,3854.5,3860.25,1,36,100187.5,-0.5829818903497892
2023-01-03 02:59:00+00:00,-14.3,long,is,,3861.5,3861.25,1,2,100175.0,-0.5953857603572315
2023-01-03 03:02:00+00:00,-64.3,long,is,,3861.5,3860.25,1,2,100112.5,-0.657405110394443
2023-01-03 03:04:00+00:00,-26.8,long,is,,3861.0,3860.5,1,1,100087.5,-0.6822128504093277
2023-01-03 03:09:00+00:00,-14.3,long,is,,3861.5,3861.25,1,4,100075.0,-0.69461672041677
2023-01-03 03:15:00+00:00,-26.8,long,is,,3861.5,3861.0,1,5,100050.0,-0.7194244604316548
2023-01-03 03:17:00+00:00,-1.8,long,is,,3860.5,3860.5,1,1,100050.0,-0.7194244604316548
2023-01-03 03:19:00+00:00,-26.8,long,is,,3861.25,3860.75,1,1,100025.0,-0.7442322004465393
2023-01-03 03:24:00+00:00,10.7,long,is,,3861.0,3861.25,1,4,100037.5,-0.731828330439097
2023-01-03 03:31:00+00:00,-26.8,long,is,,3862.0,3861.5,1,6,100012.5,-0.7566360704539816
2023-01-03 04:04:00+00:00,160.7,long,is,,3862.5,3865.75,1,32,100175.0,-0.5953857603572315
2023-01-03 04:07:00+00:00,-26.8,long,is,,3865.75,3865.25,1,2,100150.0,-0.6201935003721161
2023-01-03 04:09:00+00:00,-14.3,long,is,,3864.0,3863.75,1,1,100137.5,-0.6325973703795584
2023-01-03 04:11:00+00:00,-14.3,long,is,,3864.0,3863.75,1,1,100125.0,-0.6450012403870008
2023-01-03 04:13:00+00:00,-26.8,long,is,,3864.5,3864.0,1,1,100100.0,-0.6698089804018854
2023-01-03 04:15:00+00:00,-14.3,long,is,,3864.75,3864.5,1,1,100087.5,-0.6822128504093277
2023-01-03 04:17:00+00:00,-14.3,long,is,,3865.0,3864.75,1,1,100075.0,-0.69461672041677
2023-01-03 04:19:00+00:00,-26.8,long,is,,3864.75,3864.25,1,1,100050.0,-0.7194244604316548
2023-01-03 04:41:00+00:00,10.7,long,is,,3865.5,3865.75,1,21,100062.5,-0.7070205904242124
2023-01-03 04:43:00+00:00,-26.8,long,is,,3866.0,3865.5,1,1,100037.5,-0.731828330439097
2023-01-03 04:45:00+00:00,-39.3,long,is,,3866.25,3865.5,1,1,100000.0,-0.769039940461424
2023-01-03 04:47:00+00:00,-26.8,long,is,,3866.0,3865.5,1,1,99975.0,-0.7938476804763086
2023-01-03 04:49:00+00:00,-39.3,long,is,,3866.0,3865.25,1,1,99937.5,-0.8310592904986356
2023-01-03 04:51:00+00:00,-51.8,long,is,,3865.75,3864.75,1,1,99887.5,-0.8806747705284048
2023-01-03 04:53:00+00:00,-26.8,long,is,,3865.75,3865.25,1,1,99862.5,-0.9054825105432895
2023-01-03 04:55:00+00:00,-51.8,long,is,,3865.5,3864.5,1,1,99812.5,-0.9550979905730587
2023-01-03 05:04:00+00:00,-64.3,short,is,,3864.25,3865.5,1,8,99750.0,-1.0171173406102705
2023-01-03 05:24:00+00:00,-1.8,long,is,,3865.75,3865.75,1,19,99750.0,-1.0171173406102705
2023-01-03 05:26:00+00:00,-39.3,long,is,,3866.25,3865.5,1,1,99712.5,-1.0543289506325972
2023-01-03 05:34:00+00:00,-76.8,short,is,,3865.0,3866.5,1,7,99637.5,-1.1287521706772514
2023-01-03 05:36:00+00:00,-26.8,long,is,,3866.25,3865.75,1,1,99612.5,-1.153559910692136
2023-01-03 05:38:00+00:00,-26.8,long,is,,3865.75,3865.25,1,1,99587.5,-1.1783676507070204
2023-01-03 05:55:00+00:00,-114.3,long,is,,3872.5,3870.25,1,16,99475.0,-1.2900024807740016
2023-01-03 05:57:00+00:00,-51.8,long,is,,3871.75,3870.75,1,1,99425.0,-1.3396179608037708
2023-01-03 05:59:00+00:00,-39.3,long,is,,3871.75,3871.0,1,1,99387.5,-1.3768295708260978
2023-01-03 06:01:00+00:00,-51.8,long,is,,3871.75,3870.75,1,1,99337.5,-1.426445050855867
