session_date,open,high,low,close,volume,bar_count
2020-01-01,3237.0,3261.75,3234.25,3261.5,1360588,1363
2020-01-02,3261.0,3263.5,3206.75,3235.5,1682453,1365
2020-01-05,3220.25,3249.5,3208.75,3242.75,1460300,1365
2020-01-06,3243.5,3254.5,3226.0,3233.0,1228094,1365
2020-01-07,3231.75,3267.75,3181.0,3259.75,2223039,1365
2020-01-08,3261.25,3276.75,3257.75,3275.25,1224853,1365
2020-01-09,3275.5,3287.0,3260.75,3263.5,1454446,1365
2020-01-12,3265.75,3291.0,3265.5,3289.0,960346,1365
2020-01-13,3289.25,3296.75,3275.25,3287.75,1638539,1365
2020-01-14,3287.75,3299.0,3277.75,3294.25,1416814,1364
2020-01-15,3294.25,3318.0,3294.0,3317.25,1297967,1364
2020-01-16,3316.75,3330.25,3316.0,3323.75,1211940,1363
2020-01-19,3325.0,3328.5,3318.5,3325.25,115614,1125
2020-01-20,3325.5,3329.75,3307.25,3320.25,1371053,1364
2020-01-21,3321.25,3337.5,3315.25,3317.25,1461314,1365
2020-01-22,3317.25,3327.0,3301.25,3326.0,1662351,1365
2020-01-23,3326.5,3337.0,3280.5,3291.0,2430371,1359
2020-01-26,3269.75,3269.75,3233.0,3240.75,2510439,1365
2020-01-27,3239.5,3285.0,3238.75,3283.0,1836912,1365
2020-01-28,3281.75,3292.75,3265.25,3270.75,1621914,1364
2020-01-29,3271.5,3295.25,3239.75,3294.25,2371657,1365
2020-01-30,3292.0,3297.5,3212.75,3227.0,3053147,1365
2020-02-02,3222.75,3267.25,3222.0,3245.0,1870850,1365
2020-02-03,3244.25,3305.25,3236.0,3300.25,1651128,1365
2020-02-04,3300.25,3338.0,3288.25,3335.5,1993447,1365
2020-02-05,3337.0,3357.75,3332.5,3348.0,1431238,1365
2020-02-06,3349.0,3350.0,3320.75,3323.0,1635657,1363
2020-02-09,3322.25,3353.5,3303.5,3352.25,1345374,1365
2020-02-10,3351.0,3374.5,3349.25,3359.25,1451536,1365
2020-02-11,3360.5,3381.5,3355.5,3380.5,1188207,1364
2020-02-12,3381.25,3384.75,3348.5,3378.75,1732399,1365
2020-02-13,3379.5,3388.5,3365.25,3380.5,1278244,1365
2020-02-16,3382.25,3392.5,3382.0,3388.0,143127,1140
2020-02-17,3378.25,3379.0,3355.25,3370.75,1541738,1365
2020-02-18,3372.0,3393.75,3370.75,3388.25,1111329,1365
